Original Atom Name -> New Atom Name
CORE
O4 O001
H45 H002
C13 C003
H31 H004
C20 C005
H34 H006
H35 H007
O2 O008
H43 H009
C14 C010
H32 H011
O3 O012
H44 H013

SITE 1 site1_sub1 (from preprocessing/alignment/mol2_aligned/riboflavin_1)
C11 C014
H28 H015
C12 C016
H29 H017
H30 H018
N7 N019
C16 C020
C19 C021
C24 C022
N10 N023
H47 H024
C27 C025
N9 N026
O6 O027
O5 O028
N8 N029
C17 C030
C22 C031
H36 H032
C15 C033
C18 C034
H33 H035
O1 O036
H43 H037
C21 C038
C23 C039
C25 C040
H37 H041
H38 H042
H39 H043
C26 C044
H40 H045
H41 H046
H42 H047

SITE 1 site1_sub2 (from preprocessing/alignment/mol2_aligned/riboflavin_2)
C11 C048
H28 H049
C12 C050
H29 H051
H30 H052
N7 N053
C16 C054
C19 C055
C24 C056
N10 N057
H46 H058
C27 C059
N9 N060
O6 O061
O5 O062
N8 N063
C17 C064
C22 C065
H36 H066
C15 C067
C18 C068
H33 H069
O1 O070
C21 C071
C23 C072
C25 C073
H37 H074
H38 H075
H39 H076
C26 C077
H40 H078
H41 H079
H42 H080

SITE 1 site1_sub3 (from preprocessing/alignment/mol2_aligned/riboflavin_3)
C11 C081
H28 H082
C12 C083
H29 H084
H30 H085
N7 N086
C16 C087
C19 C088
C24 C089
N10 N090
C27 C091
N9 N092
O6 O093
O5 O094
N8 N095
C17 C096
C22 C097
H36 H098
C15 C099
C18 C100
H33 H101
O1 O102
H43 H103
C21 C104
C23 C105
C25 C106
H37 H107
H38 H108
H39 H109
C26 C110
H40 H111
H41 H112
H42 H113

SITE 1 site1_sub4 (from preprocessing/alignment/mol2_aligned/riboflavin_4)
C11 C114
H28 H115
C12 C116
H29 H117
H30 H118
N7 N119
C16 C120
C19 C121
C24 C122
N10 N123
C27 C124
N9 N125
O6 O126
H47 H127
O5 O128
N8 N129
C17 C130
C22 C131
H36 H132
C15 C133
C18 C134
H33 H135
O1 O136
H43 H137
C21 C138
C23 C139
C25 C140
H37 H141
H38 H142
H39 H143
C26 C144
H40 H145
H41 H146
H42 H147

SITE 1 site1_sub5 (from preprocessing/alignment/mol2_aligned/riboflavin_5)
C11 C148
H28 H149
C12 C150
H29 H151
H30 H152
N7 N153
C16 C154
C19 C155
C24 C156
N10 N157
C27 C158
N9 N159
O6 O160
O5 O161
N8 N162
C17 C163
C22 C164
H36 H165
C15 C166
C18 C167
H33 H168
O1 O169
C21 C170
C23 C171
C25 C172
H37 H173
H38 H174
H39 H175
C26 C176
H40 H177
H41 H178
H42 H179

SITE 1 site1_sub6 (from preprocessing/alignment/mol2_aligned/riboflavin_6)
C11 C180
H28 H181
C12 C182
H29 H183
H30 H184
N7 N185
C16 C186
C19 C187
C24 C188
N10 N189
C27 C190
N9 N191
H47 H192
O6 O193
O5 O194
N8 N195
C17 C196
C22 C197
H36 H198
C15 C199
C18 C200
H33 H201
O1 O202
H43 H203
C21 C204
C23 C205
C25 C206
H37 H207
H38 H208
H39 H209
C26 C210
H40 H211
H41 H212
H42 H213


